,song,genre,singer,title,tempo1,tempo2,mean_ft1,var_ft1,mean_ft2,var_ft2,mean_mel1,var_mel1,mean_mel2,var_mel2,mean_harm1,var_harm1,mean_perc1,var_perc1,mean_harm2,var_harm2,mean_perc2,var_perc2,mean_sc1,var_sc1,mean_sc2,var_sc2,mean_chroma1,var_chroma1,mean_chroma2,var_chroma2,mean_mfccs1,var_mfccs1,mean_mfccs2,var_mfccs2,zero_crossings_mean1,zero_crossings_var1,zero_crossings_mean2,zero_crossings_var2
0,정승환  -  언제라도 어디에서라도.mp3,balad,정승환 , 언제라도 어디에서라도,0.7024645686667023,0.7024645686667023,0.308541174575006,0.4017420521712163,0.3116556154459436,0.5193271551268263,0.0,0.6886455882413538,0.012570838688252095,1.0,0.30485488178347625,0.3049642773998573,0.3048548805198014,0.3048603669453572,0.30485488448877057,0.3050916998030879,0.3048548760383681,0.30487168060957565,0.30536143024146284,0.3048805153400024,0.3057930424445076,0.3049218215319144,0.30576199374222324,0.3051993370591034,0.3058862959502392,0.30520589141550625,0.3068265018582159,0.3049814571779576,0.30690591101571074,0.3049775208440975,0.30508346799612085,0.3050704116102642,0.3051292088885658,0.3051104034637377
1,"마크툽(MAKTUB),이라온 - 별을 담은 시.mp3",balad,"마크툽(MAKTUB),이라온",별을 담은 시,0.6698319872721339,0.6698319872721339,0.3021701624875708,0.3957385399519715,0.3075639950439255,0.5704216880627829,0.0,0.6388236249114494,0.015887812549020885,1.0,0.2980701033043359,0.2981529670217769,0.2980701251915089,0.29809066595774864,0.29807006884012305,0.29830395926002296,0.29806971010029004,0.29812973344069665,0.2989974748583401,0.2981771417726138,0.2992496337748581,0.29816768892666856,0.2991381937937146,0.298435041514122,0.2993354450213898,0.2984133071261824,0.2999226764555372,0.29818447379933544,0.30000647483978216,0.29816660655759786,0.2983118081930924,0.2982967669909435,0.29839175380950106,0.29836511789458925
2,로이킴 (Roy Kim)   -   살아가는 거야.mp3,balad,로이킴 (Roy Kim)  ,  살아가는 거야,0.6645833127347323,0.459113859071092,0.24569963977311646,0.3105826069737345,0.2470412138222462,0.3536304290430637,0.0,0.7809738560354657,0.009040778954126331,1.0,0.24283026190842344,0.24290651857855106,0.24283041711969125,0.2428339476868184,0.2428302198596747,0.24294699420955265,0.2428301531784789,0.24284252652196175,0.2432332246693965,0.24285722469949905,0.24341197446762886,0.2428882104485266,0.24366158168509866,0.24311744205609875,0.2438308286383881,0.2431089220278111,0.2444765811634611,0.2429327918397133,0.2444988803814556,0.2429207182487154,0.2430050015042301,0.24299564368841856,0.2429863060583348,0.2429788431241759
3,임창정   -   소주 한 잔.mp3,balad,임창정  ,  소주 한 잔,0.7590231535394383,0.5034994416265801,0.2498980354621008,0.2724344957373219,0.25475195844890874,0.3766149548170616,0.0,0.8248870218122449,0.011523178756984082,1.0,0.2479757403434473,0.2480026872120525,0.247975724516797,0.2479777498663676,0.2479757626446353,0.24810085706217966,0.2479757743752036,0.2480009781685905,0.2489845503509511,0.24803757619600586,0.24886990326156885,0.24802452553618806,0.24910491539766205,0.2482877611656662,0.2492072374513249,0.24828627884799506,0.24966224680188526,0.2480799920769777,0.24966434039335586,0.24806089728578926,0.2482100196498329,0.24819369337788286,0.2482747116471173,0.24824812462784285
4,Buzz   -   남자를 몰라.mp3,balad,Buzz  ,  남자를 몰라,0.5206234007486543,0.8021430061544013,0.2422756246886405,0.27721240232307537,0.24677288381022386,0.35377950842691097,0.0,0.7605019635005004,0.01945915499532469,1.0,0.23910371494422145,0.2391369277949473,0.239103834686797,0.2391139306133118,0.23910380596233816,0.23919906003699806,0.2391039789167492,0.2391336143287512,0.2402402354809335,0.2391803485345861,0.24012153315721274,0.23916269274757465,0.24008843702220706,0.2394212391723637,0.2402242631803285,0.23939047943285066,0.2407204127965493,0.23919590190146794,0.2408053546143721,0.23918818103987025,0.23939857716334886,0.2393719906505909,0.2394720045721013,0.2394305235620061
5,4MEN (포맨)   -   못해 (feat. 美).mp3,balad,4MEN (포맨)  ,  못해 (feat. 美),1.0,0.6299199444879917,0.26236961857817875,0.3010069648321672,0.2672563519985294,0.4198008171027756,0.0,0.6613650268578153,0.015169479724401582,0.9645489950905126,0.2598398861843806,0.2598805743284545,0.2598400072755665,0.2598449809002499,0.25983989446410044,0.2599864145828534,0.25983990912310984,0.259872403237826,0.2607459932439617,0.25990986698971114,0.26090910719475524,0.2599131471035847,0.2607356039740205,0.26014988707733,0.26087088558591026,0.2601550171670863,0.2615822158612163,0.25995171586421983,0.26155687880025696,0.2599311541324705,0.2601233815269497,0.2601000003555977,0.260190747868461,0.26015493427188074
6,Paul Kim(폴킴)   -   너를 만나.mp3,balad,Paul Kim(폴킴)  ,  너를 만나,0.8789380186927236,0.8462741526123249,0.29222790284826816,0.30410418816938034,0.2946128660599988,0.3716015973672091,0.0,0.8461866219227252,0.007092818947992074,1.0,0.29098842448043555,0.2910034816613371,0.2909884386541837,0.290989367667154,0.29098843373494265,0.29107880536759945,0.2909885044928649,0.2909930453815808,0.29200567902570296,0.29112645077991434,0.2917814498695832,0.2910926032129786,0.2920075202070544,0.2913529574952348,0.29196222269246114,0.2913314917572341,0.2929142101273436,0.29109485377553423,0.2929758324955059,0.2911017802844889,0.29121604853295396,0.29120265426480324,0.2912311525924356,0.29121592174828426
7,노을   -   만약에 말야-96rbyrvhwME.mp3,balad,노을  ,  만약에 말야,0.7729046076504116,0.8201347935068435,0.30272726841563985,0.3327494213386043,0.3051405743684701,0.4454716691301467,0.0,0.8906313011982303,0.004084215707530314,1.0,0.30060275062527586,0.3006363879708279,0.300602867137901,0.30060671899480396,0.30060274061342324,0.3007655743163396,0.3006026708807959,0.30061358111122183,0.301420913401079,0.3006816134009573,0.3012258775177262,0.3006830601273749,0.3016905870857214,0.3009564693294428,0.30148400042024986,0.3009562156576787,0.3025944172741229,0.3007168935004235,0.30257267790054804,0.30072590683989137,0.3007926042436869,0.3007836404397836,0.30085195525646763,0.3008365110666602
8,박효신   -   추억은 사랑을 닮아.mp3,balad,박효신  ,  추억은 사랑을 닮아,0.7995767236926693,0.7739253584138847,0.2875016642168455,0.2944359856148349,0.2901158894992249,0.33706124502184753,0.0,0.7274110084325213,0.011425694063326277,1.0,0.2865494124904383,0.28655874682371424,0.28654940160930226,0.28654970612442343,0.28654941758533803,0.2865967718692583,0.2865494750332101,0.2865576248769017,0.2872180488672746,0.2866351864922412,0.28768669172979583,0.2866406842022452,0.28754447941947997,0.2868970801008757,0.28760302830211204,0.28688859049490645,0.2884670275814335,0.28666071705218993,0.2884441544930128,0.2866560041418431,0.2867064653904985,0.28669992721455123,0.28678385563175063,0.28676928595155243
