,song,genre,singer,title,tempo1,tempo2,mean_ft1,var_ft1,mean_ft2,var_ft2,mean_mel1,var_mel1,mean_mel2,var_mel2,mean_harm1,var_harm1,mean_perc1,var_perc1,mean_harm2,var_harm2,mean_perc2,var_perc2,mean_sc1,var_sc1,mean_sc2,var_sc2,mean_chroma1,var_chroma1,mean_chroma2,var_chroma2
0,SUPERBEE(수퍼비)  - 수퍼비와 (Feat. BewhY) (Prod. BewhY) 가사-njJt2uSJi9Q.mp3,hip-hop,SUPERBEE(수퍼비) ,수퍼비와 (Feat. BewhY) (Prod. BewhY) ,123.046875,129.19921875,1.2271779775619507,19.18951988220215,3.0118064880371094,86.79261779785156,-74.77914428710938,119.2695083618164,-68.20396423339844,253.07534790039062,1.9910592527594417e-05,0.011249560862779617,-1.811377842386719e-05,0.009660573676228523,4.252023063600063e-05,0.0711449682712555,-7.716484105912969e-05,0.02534799836575985,0.31662782608858464,0.018714334434620776,0.38868907443219586,0.016002075898333263,0.3495089113712311,0.08944478631019592,0.4323592185974121,0.07988473027944565
1,"창모 (CHANGMO), 해쉬스완 (Hash Swan), 애쉬 아일랜드 (ASH ISLAND), 김효은  - BAND.mp3",hip-hop,"창모 (CHANGMO), 해쉬스완 (Hash Swan), 애쉬 아일랜드 (ASH ISLAND), 김효은 ",BAND,143.5546875,143.5546875,1.584487795829773,38.78711700439453,1.8217430114746094,53.274967193603516,-77.00406646728516,70.16474914550781,-76.50821685791016,85.06035614013672,-3.45939515682403e-05,0.021393578499555588,2.591353768366389e-05,0.024517467245459557,-1.1821901352959685e-05,0.03197844699025154,-3.397848558961414e-06,0.030203117057681084,0.38354448981584977,0.02133146300567516,0.3767786415374826,0.034867059578747514,0.3743859529495239,0.10131549090147018,0.4498206079006195,0.08722047507762909
2,프라이머리  - 독 (Feat. E Sens of 슈프림팀) 가사-QuC_EqHjA7Y.mp3,hip-hop,프라이머리 ,독 (Feat. E Sens of 슈프림팀) ,123.046875,161.4990234375,0.8130004405975342,6.426614761352539,2.2272140979766846,34.6920166015625,-74.64606475830078,120.516845703125,-69.14302062988281,217.97515869140625,4.529696298050112e-07,0.002339288592338562,-4.021846962132258e-06,0.004667691420763731,-4.771980002260534e-06,0.019727831706404686,-3.0342442187247798e-05,0.01717362366616726,0.3568690210900997,0.03121294892052268,0.33023322984901626,0.030381179346494824,0.397682785987854,0.09101106971502304,0.4009752869606018,0.087548166513443
3,"기리보이, Kid Milli, NOEL, 스윙스  - flex (Prod.By 기리보이).mp3",hip-hop,"기리보이, Kid Milli, NOEL, 스윙스 ",flex (Prod.By 기리보이),143.5546875,143.5546875,2.833221435546875,58.80519104003906,3.549314260482788,75.69570922851562,-71.78270721435547,180.73666381835938,-70.5063705444336,196.82577514648438,-2.483378693796112e-06,0.033791352063417435,-6.304551789071411e-05,0.03014194406569004,-8.280596375698224e-06,0.04295429587364197,-2.4562996259192005e-05,0.04240822046995163,0.41377259066980004,0.023781907482794833,0.39194569357888936,0.024358345969691192,0.34920448064804077,0.0973658636212349,0.3875707983970642,0.09646818786859512
4,슈퍼비 (SUPERBEE)  - +82 Bars [Rap Legend]-1-sg3fud1EY.mp3,hip-hop,슈퍼비 (SUPERBEE) ,+82 Bars ,143.5546875,143.5546875,2.7386491298675537,56.50071334838867,3.1974451541900635,71.76736450195312,-72.35990905761719,160.8331756591797,-71.28524017333984,181.34860229492188,6.976062650210224e-06,0.04040393978357315,8.837848145049065e-05,0.022447802126407623,1.178203456220217e-05,0.054983507841825485,2.2171174350660294e-05,0.026660503819584846,0.45236449597524614,0.020464131917069625,0.41592409563771865,0.020522973630991297,0.41060638427734375,0.09356018900871277,0.4378022253513336,0.08938398957252502
5,"Jvcki Wai, 영비, Osshun Gum, 한요한  - 띵 (Prod.By 기리보이).mp3",hip-hop,"Jvcki Wai, 영비, Osshun Gum, 한요한 ",띵 (Prod.By 기리보이),151.99908088235293,151.99908088235293,2.888990640640259,66.80951690673828,2.880577802658081,68.24325561523438,-71.21790313720703,189.0963592529297,-71.9771499633789,177.08843994140625,4.7649533371441066e-05,0.052093151956796646,-0.00012848805636167526,0.023402580991387367,6.14698146819137e-05,0.04973265156149864,3.050686609640252e-05,0.028608592227101326,0.33054280933321106,0.03239572539160283,0.3805342581405514,0.031964196041472555,0.3008849322795868,0.09027385711669922,0.4012223184108734,0.09208833426237106
6,창모 (CHANGMO)  - METEOR.mp3,hip-hop,창모 (CHANGMO) ,METEOR,198.76802884615384,92.28515625,2.0680975914001465,62.016883850097656,2.3349602222442627,64.1995849609375,-72.26893615722656,198.0349884033203,-70.30596923828125,232.97528076171875,-4.8233781853923574e-05,0.03350227698683739,9.116749424720183e-05,0.027863452211022377,-7.382257899735123e-05,0.04289477318525314,0.00013774099352303892,0.022161420434713364,0.3120808596344004,0.03867935596032206,0.25377123400138074,0.017452291976839233,0.44445937871932983,0.09106823801994324,0.37047746777534485,0.09129023551940918
7,염따  - 돈 Call Me (Prod. by BRLLNT).mp3,hip-hop,염따 ,돈 Call Me (Prod. by BRLLNT),143.5546875,143.5546875,1.0318681001663208,16.224376678466797,1.5311641693115234,26.249427795410156,-76.17508697509766,89.11521911621094,-74.93087768554688,113.09956359863281,-4.0520336597182904e-07,0.013382483273744583,-3.7713391066063195e-05,0.005283707287162542,7.271135928021977e-06,0.022286944091320038,-7.571707828901708e-05,0.008746606297791004,0.2642051843599764,0.046148474507753015,0.3809787696032542,0.036124962056499524,0.3655237555503845,0.10285630822181702,0.4771833121776581,0.08593417704105377
8,HAON  - 붕붕(Feat. Sik-K)(Prod. GroovyRoom).mp3,hip-hop,HAON ,붕붕(Feat. Sik-K)(Prod. GroovyRoom),135.99917763157896,135.99917763157896,2.1979916095733643,41.529273986816406,2.5610527992248535,56.650081634521484,-71.99899291992188,183.14215087890625,-71.6290054321289,176.9180908203125,2.1787556761410087e-05,0.02879950776696205,1.3266348105389625e-05,0.015617243945598602,1.9547280771803344e-06,0.038059644401073456,3.389318590052426e-05,0.0204828679561615,0.33694344975123214,0.02709737780065404,0.3755720282892388,0.02264740052312747,0.35304057598114014,0.09102428704500198,0.35878151655197144,0.09142810851335526
9,창모 (CHANGMO)  - 아름다워.mp3,hip-hop,창모 (CHANGMO) ,아름다워,89.10290948275862,89.10290948275862,1.656421184539795,39.9620246887207,2.000849962234497,43.14702224731445,-72.96615600585938,174.13424682617188,-72.2069320678711,181.91632080078125,-1.515364147053333e-05,0.024320680648088455,-7.54587454139255e-05,0.022708920761942863,-1.6751193925301777e-06,0.03142847865819931,1.756979509082157e-05,0.02034923993051052,0.2732600330777324,0.029183117633967238,0.3365876518318611,0.031507278273715605,0.38533881306648254,0.09720004349946976,0.35304519534111023,0.09600919485092163
10,BTS (Suga)  - First Love.mp3,hip-hop,BTS (Suga) ,First Love,117.45383522727273,89.10290948275862,0.9444112777709961,7.764275550842285,1.6683330535888672,13.273930549621582,-73.62615203857422,141.81521606445312,-66.1317138671875,241.44300842285156,6.127166670921724e-06,0.00595867121592164,-2.3005584353086306e-06,0.003008446888998151,4.216822162561584e-06,0.00967018399387598,-3.437194027355872e-05,0.005638777278363705,0.4114250715873333,0.02496414216245958,0.36834497783551057,0.026692595467207165,0.3587504029273987,0.09130607545375824,0.40193358063697815,0.08096262812614441
